Date,Content,Comment
2020-12-26,https://boxd.it/S89lf,Your amazingly deep knowledge on animated films never ceases to amaze me.
2020-12-27,https://boxd.it/1x3mAh,Glad to see you back on Letterboxd haha
2020-12-27,https://boxd.it/1xoXiV,"Ah yes I did, good catch!"
2020-12-28,https://boxd.it/17h7W,"A lot of the links don't work for me, do they not work for anyone else?"
2020-12-29,https://boxd.it/1xJ8dx,"There actually is a reason for the one-shot. Alejandro stated that life is lived without cuts, so to increase the sense of the audience being a part of the story, he decided to use the technique. It also increases tension and the stress of trying to finish the play."
2020-12-30,https://boxd.it/1xVWaR,Y'know? I think I will! Haha the musical aspect to this is really great
2020-12-30,https://boxd.it/1xVWaR,Great pick
2020-12-31,https://boxd.it/1y3nGp,Thanks! I'm very glad to have it
2021-01-02,https://boxd.it/aFQjW,"Great list! Glad to see someone else praise Hoop Dreams, that was one of my favorite first watches of this year as well

And for sake of comparison, I watched 388 unique films in 2020"
2021-01-03,https://boxd.it/1yAwQJ,Hi Lucy
2021-01-05,https://boxd.it/aJNOK,YAY I'M SO HAPPY YOU'RE DOING THIS
2021-01-06,https://boxd.it/1z7eX9,Yes I ended up giving the edge but I forgot to update the review. I'll go ahead and do that now
2021-01-13,https://boxd.it/1AgVOV,"Thank you for the kind words, very much appreciated"
2021-01-14,https://boxd.it/1AlkFx,Why do you feel like that lmao it's your opinion jesus christ
2021-01-18,https://boxd.it/1B4M79,I actually think this is a really underrated and great film. Definitely beats most if not all MCU movies for me.
2021-01-19,https://boxd.it/1BhLU1,Academy Screener
2021-01-19,https://boxd.it/1BiJax,Alright so yeah it sounds like we're getting that Nolan ranked video! Can't wait!
2021-01-20,https://boxd.it/1BjC4T,"He felt the need to make it because, well, it was his first film"
2021-01-20,https://boxd.it/1BjC4T,"I suppose, though it was a good way to showcase his style and PTA traits early on in his career."
2021-01-24,https://boxd.it/1BYDmB,I feel the very same!
2021-01-25,https://boxd.it/1C4AQF,"Nah, although I might bump it up to an 8 in the future, I did have a fun ass time with this"
2021-01-26,https://boxd.it/1CeLHz,"I respect your opinion, though I must disagree with a number of points. I don't think the film necessarily needs to ""solve the problem,"" as I think the film would be over far too fast if it did so. It exhibits how Carey Mulligan's character has been coping with and dealing with the death of her friend, and the rest of the plot plays out as a revenge thriller as that was the intent. The film isn't for everyone, but I found the way it blends drama and conveying a message with the thrill of revenge to be very satisfying and it worked incredibly well for me. The film ends out with Cassie's revenge desires fulfilled, and I'm okay with that because I still felt personally affected by the social themes from the rest of the film."
2021-01-27,https://boxd.it/1CpzvD,"The best thing I can say is humor is subjective, but I've walked away from it twice now feeling underwhelmed."
2021-01-27,https://boxd.it/1CpzvD,"Yeahhh I really was hoping that there would be more nuances I picked up on this time, but it just felt like an exact rehash of my thoughts of the first watch"
2021-01-27,https://boxd.it/1CqO3r,"You do realize the free watch is only available to people who bought Sundance tickets, right?"
2021-01-28,https://boxd.it/b0TCY,Both are on my list! Can't wait for both!
2021-02-01,https://boxd.it/1Cyp2T,Thanks!
2021-02-01,https://boxd.it/1CMOo9,Thanks for sharing. Where did you find that info?
2021-02-02,https://boxd.it/1DervH,Where did you see this? I would love to see it in theaters but I don't think it's playing anywhere near me
2021-02-08,https://boxd.it/1DZtGr,"That's a very good point, and I certainly do admire how the film is different from others with similar ideas and themes in the sense that it's very straightforward and studies Anton. I guess I just had my expectations set in the wrong place"
2021-02-08,https://boxd.it/1E7J6F,"Come to Illinois, you could knock it off here!"
2021-02-08,https://boxd.it/1E7J6F,Nice! Hopefully things work out and you can give it a go
2021-02-10,https://boxd.it/1Ep9yz,Go outside
2021-02-12,https://boxd.it/1EBBtr,ym should get your ass under control
2021-02-14,https://boxd.it/1EXe6D,"It's still a good movie, these are just my honest thoughts"
2021-02-18,https://boxd.it/1FvbGL,I take it you're watching all the best picture nominees of the 2000s?
2021-02-18,https://boxd.it/93sXS,"Thank you! I'm glad you like it, I've always been interested in where movies take place in comparison to others so I figured my top movies list would be a good place to start"
2021-02-21,https://boxd.it/1FRYZr,playtime
2021-02-23,https://boxd.it/1GcQfd,"That's fair, I understand why some people don't like his style and he's just not a very good person"
2021-02-26,https://boxd.it/1GCHkP,With this have you now seen every 2000s best picture nominee?
2021-03-03,https://boxd.it/1Hj4yT,Thanks dude
2021-03-05,https://boxd.it/1HBevB,Yes
2021-03-06,https://boxd.it/1HBevB,Agreed! I will be watching the director's cut whenever I'm in the mood for Rango
2021-03-07,https://boxd.it/1HU38f,"Ah yeah, I mean it was solid I suppose"
2021-03-08,https://boxd.it/1HU38f,Duuuude I really did love it. Such an amazing piece is art
2021-03-12,https://boxd.it/1IwjKP,This account is a joke now...
