Date,Name,Year,Letterboxd URI,Rating
2024-04-28,She's the Man,2006,https://boxd.it/1Y7W,3.5
2024-04-30,The Witch,2015,https://boxd.it/9X0m,5
2024-05-05,The Fall Guy,2024,https://boxd.it/s0Bm,3
2024-05-14,Little Women,2019,https://boxd.it/aSVk,3.5
2024-05-18,The Strangers: Chapter 1,2024,https://boxd.it/CcEM,2
2024-05-27,Furiosa: A Mad Max Saga,2024,https://boxd.it/tABk,3.5
2024-06-02,Zootopia,2016,https://boxd.it/84xS,4
2024-06-04,The Invisible Man,2020,https://boxd.it/kWlA,3.5
2024-06-04,I Saw the TV Glow,2024,https://boxd.it/woVe,4.5
2024-06-23,Inside Out 2,2024,https://boxd.it/CFrC,3.5
2024-06-29,Kinds of Kindness,2024,https://boxd.it/CWPw,4
2024-07-01,Dogtooth,2009,https://boxd.it/158K,3
2024-07-06,Thor: Love and Thunder,2022,https://boxd.it/mMAY,2.5
2024-07-06,MaXXXine,2024,https://boxd.it/CIM4,2.5
2024-07-13,Bratz: Fashion Pixiez,2007,https://boxd.it/gLQ,3.5
2024-07-14,Longlegs,2024,https://boxd.it/KzLM,3
2024-07-15,Ghostlight,2024,https://boxd.it/K5c8,3.5
2024-07-15,Robot Dreams,2023,https://boxd.it/vBZm,4
2024-07-20,Twisters,2024,https://boxd.it/qV7a,3.5
2024-08-13,Cuckoo,2024,https://boxd.it/wMjI,2.5
2024-09-05,Alien: Romulus,2024,https://boxd.it/zGqO,4
2024-09-14,Beetlejuice Beetlejuice,2024,https://boxd.it/yyGs,3
2024-09-15,We Need to Talk About Kevin,2011,https://boxd.it/2pTS,4
2024-09-20,The Dreamers,2003,https://boxd.it/28X4,3
2024-09-21,The Substance,2024,https://boxd.it/zanS,4.5
2024-09-22,Zathura: A Space Adventure,2005,https://boxd.it/21mq,4
2024-09-28,Megalopolis,2024,https://boxd.it/lPBS,3
2024-10-01,Joker: Folie à Deux,2024,https://boxd.it/xBoE,2.5
2024-10-11,Terrifier 2,2022,https://boxd.it/oI10,3.5
2024-10-11,Terrifier 3,2024,https://boxd.it/D8tM,2
2024-10-13,Blue Velvet,1986,https://boxd.it/29BI,3.5
2024-10-21,Smile 2,2024,https://boxd.it/FDA4,2.5
2024-10-31,The Wild Robot,2024,https://boxd.it/IWFy,3.5
2024-11-09,Anora,2024,https://boxd.it/Egcw,4
2024-11-11,My Old Ass,2024,https://boxd.it/zLP0,3
2024-11-17,A Real Pain,2024,https://boxd.it/CjNG,4.5
2024-11-22,Heretic,2024,https://boxd.it/H1lY,4
2024-11-25,Palo Alto,2013,https://boxd.it/5Nzy,3.5
2024-12-08,Y2K,2024,https://boxd.it/FnHI,2.5
2024-12-09,Interstellar,2014,https://boxd.it/4VZ8,4.5
2024-12-09,Beautiful Boy,2018,https://boxd.it/g76Q,3
2024-12-09,13 Going on 30,2004,https://boxd.it/1X6e,3.5
2024-12-09,Falling for Christmas,2022,https://boxd.it/vpEG,1.5
2024-12-12,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ,4
2024-12-13,Red One,2024,https://boxd.it/vTBM,2
2024-12-18,Wicked,2024,https://boxd.it/e8ME,3.5
2024-12-20,Queer,2024,https://boxd.it/E4RW,3.5
2024-12-22,"Paris, Texas",1984,https://boxd.it/29Ts,4
2024-12-26,Nosferatu,2024,https://boxd.it/f5eG,4.5
2025-01-05,Babygirl,2024,https://boxd.it/Fvai,3
2025-01-12,The Last Showgirl,2024,https://boxd.it/KWtm,3.5
2025-01-13,Gladiator II,2024,https://boxd.it/kqQQ,3
2025-01-18,The Brutalist,2024,https://boxd.it/k4BO,4.5
2025-01-24,Presence,2024,https://boxd.it/H88i,2
2025-02-01,Companion,2025,https://boxd.it/F04o,4
2025-03-01,Tropic Thunder,2008,https://boxd.it/20WM,3.5
2025-03-02,The Monkey,2025,https://boxd.it/Gwiu,2.5
2025-03-09,Mickey 17,2025,https://boxd.it/q1Dk,4
2025-03-09,Cure,1997,https://boxd.it/1blA,4
2025-03-17,Barry Lyndon,1975,https://boxd.it/25A2,3.5
2025-03-22,In the Mood for Love,2000,https://boxd.it/29tE,4
2025-04-06,Hell of a Summer,2023,https://boxd.it/BLQQ,2.5
2025-04-07,Flow,2024,https://boxd.it/v1Ei,4.5
2025-04-11,Warfare,2025,https://boxd.it/LbRo,3.5
